"2017-01-18 11:54:20 [main] INFO  c.m.c.controller.ContactControllerIT - Starting ContactControllerIT on aleksandrk with PID 1452 (started by AleksandrK in C:\Documents and Settings\aleksandrk\workspace\contactbook)
""2017-01-18 11:54:20 [main] INFO  c.m.c.controller.ContactControllerIT - No active profile set, falling back to default profiles: default
""2017-01-18 11:54:26 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cache.annotation.ProxyCachingConfiguration' of type [class org.springframework.cache.annotation.ProxyCachingConfiguration$$EnhancerBySpringCGLIB$$4ff294e2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2017-01-18 11:54:26 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6e05ec4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
""2017-01-18 11:54:34 [main] INFO  c.m.c.controller.ContactControllerIT - Started ContactControllerIT in 17.344 seconds (JVM running for 25.023)
""2017-01-18 11:54:36 [main] INFO  o.s.t.c.t.TransactionContext - Began transaction (1) for test context [DefaultTestContext@134aada testClass = ContactControllerIT, testInstance = com.mental.contactbook.controller.ContactControllerIT@66e580, testMethod = test_getAllContactsExceptRegex@ContactControllerIT, testException = [null], mergedContextConfiguration = [WebMergedContextConfiguration@19b7cce testClass = ContactControllerIT, locations = '{}', classes = '{class com.mental.contactbook.Application, class com.mental.contactbook.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.context.SpringBootTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.context.SpringBootTestContextCustomizer@bd1b6a, org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@19e13df, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@3f4d3d, org.springframework.test.context.web.socket.MockServerContainerContextCustomizer@8e7350], resourceBasePath = 'src/main/webapp', contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]]]; transaction manager [org.springframework.jdbc.datasource.DataSourceTransactionManager@1852b49]; rollback [true]
""2017-01-18 11:54:36 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring FrameworkServlet ''
""2017-01-18 11:54:36 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
""2017-01-18 11:54:36 [main] INFO  o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 78 ms
""2017-01-18 11:54:36 [main] INFO  c.m.c.controller.ContactController - Request for fetching contacts that not match regex: ^$!
""2017-01-18 11:54:36 [main] INFO  c.m.c.s.impl.ContactServiceImpl - Start to fetch contacts from DB.
